,Title,Categories,Status,Views,Comments,Follows,Introduction,Last Update,Latest Chapter
275,Addicted to Curry - Bàn Tay Thần Sầu,"Action, Adult, Manga, Romance",Đang tiến hành,240515,19,805,"Nhân vật chính của câu chuyện là đầu bếp nấu cà ri tài năng có quá khứ bí ẩn Koenji Makito (một tên dê xồm, bệnh bựa không khác gì ""Đỗ Thành Đạt"" - Onizuka) đến Tokyo để tìm cửa hàng cà ri Ganesha. Nhưng do không biết đường nên đã vất vưởng ở Tokyo và suýt thì trở thành ma đói cho đến khi con gái chủ cửa hàng cà ri đó - Sonezaki Yui bắt gặp và ""cứu mạng"" hắn... Blah blah blah... Truyện có một chút hài hước bệnh bựa, lại xen lẫn những tình tiết lãng mạn, thi thoảng pha chút ""ẹc chi"", nhưng nội dung chính vẫn là về ẩm thực - chính xác là về món cà ri. Cùng bước vào thế giới Addicted to Curry nhé",27/07//2021,Chapter 74
276,Tôi Bị Bảy Người Vợ Bức Chết,"Comedy, Manhua, Mystery, Romance, Truyện Màu, Xuyên Không",Đang tiến hành,384078,316,6028,,27/07//2021,Chapter 13
277,Thiên Kim Bất Hoán,"Cổ Đại, Manhua, Ngôn Tình, Truyện Màu",Đang tiến hành,2058987,1026,8453,"Vị tướng quân trẻ tuổi được chỉ hôn, vào đêm trước hôn nhân, bất ngờ hủy hôn, còn bị phái đến đến nơi hoang dã để tìm thuốc tiên? Kim Hà Y mong ngóng lang quân bấy lâu thì tròn mắt, đồ cưới cũng chuẩn bị cả rồi, giờ lại không cưới. Không được! Tháo vòng tay, tháo trâm cài, biến thành Kim công tử, nhất định phải bắt phu quân của cô về… thành thân.",27/07//2021,Chapter 89
278,Sankaku no Kyori wa Kagirinai Zero,"Romance, School Life",Đang tiến hành,155654,106,2881,"Yano Shiki, a boy who only shows a facade.
Minase Akiha, a quiet and reserved transfer student.
Minase Haruka, the other side of Akiha.
This is their bizarre love story, one where the distance between them is limitless/zero.",26/07//2021,Chapter 17
279,Siêu cấp thần y đại biến thái,"Comedy, Ecchi, Harem, Manhua, Truyện Màu",Đang tiến hành,11173895,2143,25866,Thần y trong trường nữ sinh và hành trình lập dàn harem để chữa trị,26/07//2021,Chapter 138
280,Ensa No Kusabi,"Action, Adventure, Fantasy, Harem, Manga, Shounen",Đang tiến hành,106931,136,3568,"Câu chuyện về hành trình của hai con người khác biệt, một kiếm khách độc hành và nữ nhân kì bí cùng tìm kiếm những ""Cổ vật"" đầy sức mạnh để chống lại vận mệnh của họ.",26/07//2021,Chapter 10
281,Chuyển sinh thành Dược sĩ ở thế giới khác,"Action, Adventure, Fantasy, Manga, Shounen",Đang tiến hành,26913,84,2733,"Theo yêu cầu của Chúa trời , Toudo Yuuki đã được đưa đến một thế giới khác để thực hành triệu tập Anh hùng thực sự. Và bây giờ, anh ấy sống như một nhà thảo dược học, Shin. Tận dụng kiến ​​thức trong quá khứ của mình, anh ta chế ra những bình thuốc vô cùng mạnh mẽ và đi khắp thế giới bán chúng. Tuy nhiên,  thực tế anh ta đã nắm giữ sức mạnh để giết cả một con rồng.",26/07//2021,Chapter 2
282,Bambino,"Manga, Romance",Đang tiến hành,74643,16,261,"Shogo Ban, một sinh viên đại học đến từ Fukuoka, đam mê nấu ăn. Nhờ ông chủ của nhà hàng nơi cậu làm partime, cậu tìm thấy niềm đam mê của chính mình tại chuỗi nhà hàng nổi tiếng nhất nước Ý - Roppongi Trattoria, nhưng thực sự để được làm được thì không hề dễ dàng. Truyện là hành trình của Ban theo đuổi đam mê và công việc cùng với mối quan hệ với Eri, người mà cậu bỏ lại ở Fukuoka.",25/07//2021,Chapter 45
283,Cooking Papa,"Comedy, Seinen, Slice of Life",Đang tiến hành,47417,28,527,"Truyện về một một nhân viên văn phòng không chỉ giỏi việc nước mà còn đảm việc nhà Tuy có tài nấu ăn thần sầu nhưng lại giấu không cho mọi người ngoài biết .....Đây là một trong những bộ truyện dài nhất của Nhật Bản, nội dung hài hước và còn hướng dẫn nhiều món ăn của nhiều nước... Truyện này vì siêu dài và bản Eng thì chỉ mới có tập 2 nên không biết mình sẽ làm được tới đâu Hy vọng mọi người thích bộ truyện này",25/07//2021,Chapter 11
284,Break Blade,"Action, Manga",Đang tiến hành,365962,91,1596,"Đứng giữa sự lựa chọn, bạn bè hay quê hương ? ""Đại lục Cruzon"" 1 thế giới mà ở đó con người được sinh ra đã có phép thuật, nhưng Lygatto 1 người hiếm hoi sinh ra không có phép thuật, anh bị cuốn vào vòng xoáy của một cuộc chiến. Bốn người bạn thân, bốn số phận nghiệt ngã được gắn kết với nhau bởi cuộc chiến kỳ lạ này.",25/07//2021,Chapter 91
285,Hắc Thiên Long - Phong Thần Ký,"Action, Adventure, Manhua, Martial Arts, Truyện Màu",Đang tiến hành,446901,60,1099,"Ngoại chuyện về Hắc Long trong Phong Thần Ký, tác phẩm kinh điển của Trịnh Kiện Hòa",24/07//2021,Chapter 27.2
286,Hiệp Sĩ Giấy A,"Action, Adventure, Fantasy, Manhua, Martial Arts, Supernatural, Truyện Màu",Đang tiến hành,219824,47,427,"Tiếp nối câu chuyện đang bỏ dở ở phần X, phần A này sẽ đi sâu vào hành trình tìm bố mẹ của bé Triết và bé Liên ở thế giới khác.....",23/07//2021,Chapter 24.2
287,Khi Thám Tử Còn Đáng Sợ Hơn Cả Tội Phạm,"Comedy, Drama, Manga, Mystery, Shounen, Tạp chí truyện tranh, Trinh Thám",Đang tiến hành,194479,147,3403,"Nhân vât chính là những thám tử với cô nàng yandere stalker biến thái cuồng yêu những tên tội phạm một cách cuồng nhiệt,yêu cả tên bắt cóc mình,thậm chí đóng khung treo ảnh những tên tội phạm mà cô yêu đầy trên tường. LÀ một bộ truyện mới của tác giả inaoka đăng hàng tuần trên tạp chí Shonen Jump. Like page hikkiteam để chap ra nhanh hơn nhé <3",23/07//2021,Chapter 21
288,Nữ sinh trung học và chàng gia sư,"Comedy, Romance, School Life, Shoujo",Đang tiến hành,285136,104,3425,Chuyện về hai thầy trò (truyện ngắn => 4 trang/chap),23/07//2021,Chapter 16
289,Mạt Thế Yêu Hành Ký,"Action, Drama, Harem, Historical, Live action, Manhua, Truyện Màu",Đang tiến hành,53606,58,2651,"Một cực quang bất thường xuất hiện trên bầu trời thành phố Nam Sơn, khi anh tỉnh dậy lần nữa, anh nhận ra rằng thành phố Nam Sơn đã trở thành một thành phố đảo biệt lập với thế giới bên ngoài. Thành phố đầy quái vật và dã thú trong những ngày cuối cùng. Để tìm cách khôi phục lại ý thức của bạn gái và tìm ra sự thật, anh ta bắt đầu cuộc hành trình mạt thế của mình với nhiều cuộc cấm địa trên suốt chặng đường ...",23/07//2021,Chapter 7
290,"Underneath It All, Ren Is A Woman","Manga, Shounen Ai, Yaoi",Đang tiến hành,90695,45,1052,"Một buổi chụp hình bí mật với “Anh chàng nội y"" ư ???  Tôi đã cố giữ một khuân mặt bình tĩnh... nhưng khi cậu ấy cởi đồ, tôi không thể tin được trước sự sexy ấy",23/07//2021,Chapter 5
291,Nana To Kaoru,"Ecchi, Manga, School Life, Shounen",Đang tiến hành,1323169,172,3608,"Một thể loại cực kì mới lạ, dành cho những ai mê S&M  bảo đảm trước h chưa có nhóm nào dịch thể loại này, ecchi thì cũng có thể nói là ecchi nhưng nó..nguy hiểm hơn nhiều , độ bựa thì khỏi nói  anh em vào chiến đi rồi còm men Nana To Kaoru - Black Label:Hè đến, nana ra ngoại ô ôn thi môn sử cùng tachibana – 1 sextoy manager chính hiệu, kaoru đi thác loan cùng 1 nhà văn viết truyện khiêu dâm. Cả 2 với mục đích khác nhau nhưng điểm đến cùng nhau. Kể từ đây cuộc đời 2 bạn trẻ bước sang trang mới. Mời các bạn nam muốn bạo dâm phụ nữ đón đọc, khuyến khích trẻ em dưới 18+ đọc truyện để tăng cường sinh lý.",22/07//2021,Chapter 92
292,Hoàng tử vệ thần nhà Momochi,"Comedy, Harem, Manga, Ngôn Tình, Romance, Shoujo, Supernatural",Đang tiến hành,578325,224,4192,"Cô bé mồ côi Momochi Himari được thừa hưởng căn nhà Momochi - có tiếng đồn là bị ma ám theo di chúc. Sau bao khó khăn tìm ra vị trí căn nhà hẻo lánh này, cô bé đã tìm được nó cùng với 3 kẻ khả nghi đang nương náu trong ngôi nhà này.",22/07//2021,Chapter 39
293,Thiếu Chủ Hung Dữ Quá Tôi Rất Thích,"Manhua, Romance, Shoujo, Truyện Màu, Xuyên Không",Đang tiến hành,731867,171,7050,"Người công nhân 27 tuổi thời hiện đại gặp phải tai nạn xe hơi, xuyên không đến Thiên Dụ triều, linh hồn nhập vào cơ thể ăn mày tên Lạc Hiểu Thất và hồi sinh. Cô ấy vô tình gặp được hai vị mỹ nam đang âm mưu đi tìm tung tích của Thái tử tiền triều – Thiếu chủ và Thế tử, Thiếu chủ độc miệng không biết ma xui quỷ khiến thế nào mà trở thành chủ nhân của Hiểu Thất, mà thế tử dịu dàng lại là “người quen cũ” của cô ấy. Cô bé ăn mày có quan hệ trùng trùng phức tạp với tiền triều, tất cả mọi thứ là do ai đứng sau sắp đặt? Chân tướng sau này xin chờ mọi người đến khám phá.",22/07//2021,Chapter 26
294,Phi Thăng Bắt Đầu Từ Việc Nuôi Một Tiên Tử,"Action, Adventure, Manhua, Mystery, Truyện Màu",Đang tiến hành,1872254,436,11350,,30/07//2021,Chapter 52
295,Freeter ga Jimini Isekai Teni suru,"Comedy, Fantasy, Manga, Slice of Life",Đang tiến hành,455918,490,4243,"Truyện nói về một anh chàng hiền lành, xuyên không bất chợt rồi trở vệ hiện tại cũng bất chợt, mang item từ bên dị giới sang thế giới của mình dùng  Freeter là những người làm công việc ""tự do"" chủ yếu parttime google để biết thêm, nay đây mai đó, không có định, lận đận...Không tìm được đam mê hay định hướng cụ thể.",22/07//2021,Chapter 18
296,Thiên Hạ Kiếp,"Action, Adventure, Manhua, Mystery, Shoujo, Supernatural, Truyện Màu, Xuyên Không",Đang tiến hành,3296510,1011,14364,"Tiêu Vũ, Ở trái đất là một thiên tài cờ vây, là một thiếu niên đam mê cờ. Bị một lão đầu râu bạc lừa gạt đến dị giới, còn gặp một bàn cờ quái dị ăn linh lực..., bàn cờ này còn giống như sắc phôi... Để xem thiếu niênthiên tài cờ vây ở thế kỷ 21 chúng ta chinh phục mỹ nữ ở dị giới như thế nào, đại hưng kỳ đạo!",22/07//2021,Chapter 84
297,Issak,"Action, Adventure, Drama, Historical, Mature, Seinen",Đang tiến hành,251178,112,1856,"Vào thế kỷ 17, Đế chế La Mã Thần thánh đã bị tàn phá bởi cuộc Chiến tranh Ba mươi năm. Giữa sự hỗn loạn này xuất hiện một lính đánh thuê Nhật Bản tên là Isaak. Trận chiến ác liệt của hắn ta bắt đầu.",22/07//2021,Chapter 31
298,Kanojo wa Rokurokubi,"Comedy, Romance, Shounen, Slice of Life, Supernatural",Hoàn thành,339567,131,3475,Một câu chuyện về tình yêu cuộc sống của một cô gái cổ dài: Kanoi Natsuki và người bạn thời thơ ấu của cô cũng học cùng trường và giữa họ có vẻ nhiều hơn tình bạn.,22/07//2021,Chapter 22.1
299,Cuộc sống kỳ thú,"Comedy, Drama, Fantasy, Manhwa, Romance, Truyện Màu",Đang tiến hành,1289845,162,7463,"Không thể giải quyết mối nợ lớn của bạn, nhân viên văn phòng Ki Myo Hee quyết định tự tử bằng cách nhảy lầu. Sau đó, một Grim Reaper xuất hiện trước mặt cô ấy và bảo cô ấy thử sống thêm 100 ngày?! Khi cô ấy tỉnh lại, cô ấy phát hiện tuổi thọ dài thêm không phải dưới hình dáng con người mà dưới hình hài một chú mèo?",22/07//2021,Chapter 60
300,Inuwashi Momo wa Yuruganai,"Comedy, Romance, Shoujo",Đang tiến hành,43840,119,1118,"Inuwashi Momo là một cô gái vô cùng dễ thương và xinh đẹp, cô có hai người anh trai sinh đôi luôn yêu quý mình. Vì cha mẹ mất sớm nên chỉ còn 3 anh em sinh sống cùng nhau. Để bảo vệ cho sự bình yên của gia đình, và vì quá cuồng anh trai nên Momo đã âm thầm cài GPS vào 2 người anh trai của mình để theo dõi họ. Nào ngờ...",21/07//2021,Chapter 5
301,Cảm Xúc Ngọt Ngào,"Comedy, Ngôn Tình, Romance, School Life, Shoujo",Hoàn thành,873272,542,4163,"Ten vừa trở thành học sinh trung học và chuyển vào sống tại kí túc xá theo lời rủ rê của người bạn thân. Tại đây, cô có dịp gặp gỡ và làm quen được với rất nhiều người tốt bụng và thú vị. Cuộc sống của Ten giờ bỗng tràn ngập những điều mới mẻ, và cả những cảm xúc mà cô chưa bao giờ biết đến.",21/07//2021,Chapter 62.5
302,The man who cleans up makeup,"Comedy, Romance, Shoujo",Đang tiến hành,57238,56,1173,"Tên khác: Hwajang Jiwojuneun Namja
Kim Yeseul, một sinh viên đại học học giỏi và giản dị, trở thành nàng thơ của nghệ sĩ trang điểm thiên tài, Cheon Yuseong.",21/07//2021,Chapter 8
303,Không Thể Hòan Hảo Tuyệt Đối,"Chuyển Sinh, Drama, Manhua, Ngôn Tình, Truyện Màu, Xuyên Không",Đang tiến hành,180752,126,3169,"Đây là kiểu xuyên không mà tôi hàng mơ ước, nữ chính cực hoàn hảo,
khuôn mặt xinh đẹp thiện lương,quần áo lộng lẫy, biệt thự, người hầu, còn được muôn vàn sủng ái ! Đương nhiên tránh không được những khó dễ đến từ vai nữ phụ,tất cả đều đã chắc chắn. Cái gì ? Nữ phụ độc ác sống lại ? Vấn đề này không lớn, đều là cô gái tay cầm kịch bản, không phải chỉ giả vờ là Bạch Liên hoa sao ? Vậy thì để xem ai thủ đoạn hơn ai ! Chỉ là ..... đợi đã .... hướng của cốt truyện hình như có gì sai sai",21/07//2021,Chapter 23
304,Kuro No Tantei,"Comedy, Mystery, Psychological, Shounen",Đang tiến hành,148364,53,927,"Thám tử Kuroba Yo thích chơi đùa với cảm xúc và phá hoại tâm trí của tội phạm, nhưng chính vì điều đó đã khiến cậu mắc phải một sai lầm lớn...",18/08//2019,Chapter 27.1
305,Cô bé đến từ vương quốc bên ngoài,"Drama, Fantasy, Mystery, Shounen, Supernatural",Đang tiến hành,167218,176,1838,"Ngày xửa ngày xưa, ở một vùng đất xa rất xa nọ tồn tại 2 vương quốc. Thế giới phân thành ""Trong"" - nơi con người sinh sống, và ""Ngoài"" - nơi ẩn náu của những kẻ mang hình hài kì dị mà chỉ cần ta chạm vào chúng thì sẽ lập tức bị nguyền rủa. Khi 2 con người tưởng chừng như vĩnh viễn không bao giờ đi ngang nhau gặp gỡ, một câu chuyện nhỏ âm thầm khởi động.Đây là câu chuyện cổ tích lắng đọng trong màn đêm bị ngăn cách sâu sắc bởi sáng và tối của 2 người...",20/07//2021,Chapter 23
306,Ta Phải Làm Hoàng Hậu,"Chuyển Sinh, Cổ Đại, Manhua, Truyện Màu, Xuyên Không",Đang tiến hành,1876820,209,11845,"Người người thế gian một khi nghe danh nữ ma đầu Hạ Chỉ đều sợ đến mất mật, sát thần bị trói chặt với hệ thống thăng chức thiên hậu, cùng nhau xuyên qua 3000 tiểu thế giới, ngược tiện nữ tra nam, trước trêu chọc nam nhân, sau chiếm đoạt hậu vị! Thay đổi kết cục ""Hồng nhan họa thủy"", trực tiếp thăng lên làm hoàng hậu, mẫu nghi chi quốc, xóa sạch tội ác giết chóc kiếp trước, lần thứ hai sống lại...",20/07//2021,Chapter 45
307,"Ngay cả khi là ác nữ, tôi vẫn sẽ trở thành nữ chính","Action, Comedy, Drama, Fantasy, Isekai, Josei, Manhwa, Truyện Màu, Webtoon",Đang tiến hành,25264,66,3985,"Tôi đã không thể chịu được sự ngược đãi và tự kết thúc cuộc đời mình, nhưng lại được tái sinh vào thế giới của một cuốn sách mà tôi từng đọc, cùng với người đã khiến cuộc đời tôi trở thành địa ngục trần gian. Dĩ nhiên cô ấy sẽ là nữ chính - Florre, còn tôi, Dahlia, sẽ là kẻ phản diện, với cái chết tàn khốc đã được định sẵn cho cuộc đời mình.
""Người ta nói cô là kẻ độc tài không có máu hay nước mắt, nhưng khác với những lời đồn đại, cô thường hay rơi lệ.""
""Bệ hạ đang tin những điều vớ vẩn mà lũ ngốc đang nói tới ư?""
Trong câu chuyện gốc, Đại công tước Cervian, anh trai cùng cha khác mẹ của nam chính độc tài, sẽ bị kết tội phản quốc. Anh ta đang tiếp cận tôi. Tôi sẽ không bỏ lỡ cơ hội tìm thấy người đồng mình tốt nhất của mình.
""Bệ hạ, người sẽ lấy ta chứ?""
""Ngươi...vừa nói cái gì?""
""Và cùng nhau phục thù.""
Một tình huống tương tự, một kết thúc đã được định sẵn. Nữ chính không phải là người duy nhất biết được cái kết. Hãy tham gia vào con đường trả thù đầy gian khổ và chông chênh của chúng ta!",06/07//2021,Chapter 2
308,Roid,"Drama, Manga, Mystery, Romance, Shoujo Ai",Đang tiến hành,2954,6,163,"Futagami Yui đã mất đi đôi chân trong một vụ tai nạn. Sau này cô là thành viên của câu lạc chế tạo robot. Và rồi cùng với đàn em là Kazumiya Reina, cả hai đã cùng nhau chế tạo ra người máy. Nhưng khi mọi thứ gần như hoàn thành, thì Reina đã bị bắt cóc. Chuyện gì đã xảy ra?",20/07//2021,Chapter 10
309,Showa Maiden Fairytale,"Comedy, Historical, Romance, Shounen",Đang tiến hành,208730,303,2639,"Ngày xửa ngày xưa ở thành phố Kobe, có một cô bé và một cậu bé. Cả hai đều sống trong những gia đình bất hạnh và hai người đã thề sẽ ở bên nhau cho đến khi chết. Thế nhưng, số phận đã khiến họ phải xa nhau. Cho đến khi họ có cơ hội gặp lại nhau sau 3 năm xa cách...cùng tác giả với bộ truyện Taisho Wotome Otogibanashi nổi tiếng. cần tuyển translator và editor tại: https://facebook.com/pth1234",19/07//2021,Chapter 18
310,Yankee-kun to Hakujou Gaaru,"Comedy, Romance, School Life, Seinen, Shoujo",Đang tiến hành,846071,678,7065,Hmm.... đại khái là cuộc tình giữa anh giang hồ (tsundere) và 1 bé mù lòa =)),19/07//2021,Chapter 45
311,Tôi Đã Gặp Nam Chính Ở Trong Tù,"Cổ Đại, Magical, Manhwa, Ngôn Tình, Truyện Màu, Xuyên Không",Đang tiến hành,1846402,583,33161,"Giới thiệu:Tôi đã gặp nam chính trong ngục tù. Tôi biết anh ta là nam chính trong tiểu thuyết thần thoại 19+, nhưng mà… Sao lại như thế?“Gào! Gào! Gào! Grừ grừ.”Anh ta đã mắc phải lời nguyền bị biến thành mãnh thú nhưng vẫn mang thân xác con người… Vậy thì bộ dạng anh ta lúc thoát khỏi lời nguyền sẽ như thế nào nhỉ.“Hãy chịu, chịu, chịu trách nhiệm, nếu không thì đừng có chạm tay vào!”Chỉ là tôi thấy an tâm rằng mình sẽ không rung động trước nam chính thôi.“Sau một năm, cô hãy gặp lại tôi… khi tôi đã thoát khỏi nơi này!”Tôi bảo mình biết rồi, vì có lẽ việc gặp lại chắc cũng chẳng khó khăn gì. Với lại tôi cũng ra tù trước cơ mà…***“Lại đây nào, cô em gái xinh như hoa của anh.”Tôi biết người đàn ông đang tiến lại gần mình khi tôi ra tù.Và cả việc tôi là em gái của một nhân vật phản diện.“Phải đi thay cho anh chắc em đã vất vả nhiều rồi nhỉ? Anh chỉ đợi mỗi em thôi đó.”... Chết tiệt. Vậy tôi là đứa em gái đáng quý của tên phản diện không đội trời chung với nam chính à?***3 năm sau, nam chính gặp lại tôi với khuôn mặt tươi cười khác hẳn ngày trước.“Xin chào, Iana. Từ bây giờ tôi sẽ bắt cóc cô.”",19/07//2021,Chapter 21.2
312,Sengoku No Karma,"Drama, Horror, Mystery, Shounen",Đang tiến hành,490776,292,2595,"Makoto có một cuộc sống không hề dễ dàng . cậu bị bắt nạt trong trường học và có vấn đề với cha mình do để bỏ qua trường.
Cái nhìn của họ về cuộc sống bừng sáng khi Kirisaki, một cô gái trong lớp học của mình, khen ngợi kỹ năng vẽ của mình. Một thời gian sau, cậu thấy cô bị quấy rối bởi những kẻ cầm đầu của những kẻ bắt nạt mình. Cậu quyết định can thiệp, nhưng được cắt ngắn bởi sự mặc khải rằng cô là kẻ cầm đầu bạn gái người xúi giục người bắt nạt ở nơi đầu tiên.
Chán nản với cuộc sống của mình Makoto quyết định giết mình. cậu ở trong luyện ngục, không phải thiên đàng cũng không phải địa ngục với các nhiệm vụ để cứu cuộc sống của sáu người, cuộc sống sẽ bị ảnh hưởng tiêu cực bởi sự tự tử của mình ...",18/07//2021,Chapter 29
313,Jiken Kisha Totoko!,"Comedy, Fantasy, Historical, Manga, Mystery, Seinen",Đang tiến hành,13973,11,381,"Hết ăn rồi lại ngủ, ngoài trừ mấy việc này ra thì cũng không hẳn là vô dụng hoàn toàn. Nữ phóng viên tập sự Totoko và anh đồng nghiệp số nhọ của mình Iriya, cả hai cùng nhau đi săn tin tức sốt dẻo về các phi vụ buôn bán vũ khí, tổ chức buôn lậu, bắt cóc... và đặc biệt là tin về nóng hôi hổi về tên đạo chích Mặt nạ Đại hắc ám. Tin tức sốt dẻo cứ để đó cho Totoko!!",18/07//2021,Chapter 10
314,Meido No Koi Wa Enma Shidai!,"Comedy, Manga, Romance, Shoujo",Đang tiến hành,279303,458,4738,"Một câu chuyện tình củm đầy hài hước và thú vịNam chính là vị vua cai quản địa ngục, ngoài cái vẻ mặt ngơ ngáo, vừa lười vừa tham ăn và cực thích ăn đồ ngọt thì không còn gì để bàn :))",18/07//2021,Chapter 12
315,Quản Ngục Higuma,"Action, Manga, Shounen",Đang tiến hành,73637,98,1724,"Những kẻ xấu, hãy sẵn sàng đi!!
Những kẻ gây rối chạy trốn từ địa ngục thường được gọi là ""Vong hồn"". Chúng nhập vào người sống ở trần gian rồi đi làm việc xấu. Kurumine Ayaha là một cô gái bị vong hồn nhập rồi móc túi trong vô thức. Cô tới một ngôi chùa để xin trừ tà. Nhưng ở đó cô không gặp trụ trì mà lại gặp một chàng trai vô tư -HIGUMA. Nhìn thoáng qua thì cậu không giống một người đáng tin cậy... tuy nhiên cậu chính là Ngục Tốt Nhân kiểm soát Vong Hồn... 
Cuộc chiến giữa Ngục Tốt Nhân Higuma và Vong Hồn chính thức bắt đầu...!!!",18/07//2021,Chapter 8
316,Lễ băng nhạc phôi chi dạ,"Cổ Đại, Đam Mỹ, Manhua, Truyện Màu",Đang tiến hành,566836,138,3485,,18/07//2021,Chapter 57
317,Dàn Giao Hưởng Thiên Thanh - Ao no Orchestra,"Comedy, Drama, Manga, Mature, Romance, School Life, Slice of Life",Đang tiến hành,266089,262,3271,"Aono Hajime đã từng là một thần đồng violin cho đến khi vì một số lý do, cậu trở nên mệt mỏi với việc chơi đàn. Vào năm ba sơ trung, cậu gặp khó khăn trong chuyện định hướng tương lai của mình. Một ngày nọ ở trường, cậu vô tình gặp Akine Ritsuko, cô gái mới tập violin với tính khí nóng nảy vô cùng. Cô bé có khao khát gia nhập CLB Violin khi vào cao trung. Khi cậu nhận ra mình đã dần thân thiết với Ritsuko và dần trở lại thế giới violin đầy màu sắc, thời gian dường như đã trở lại.
Đây là khởi đầu của một câu chuyện thanh xuân, nơi những con tim nhiệt huyết hoà cùng nhau vang dội tựa như một bản hoà tấu.",17/07//2021,Chapter 21
318,This Girl is a Little Wild,"Action, Manhwa, Truyện Màu",Đang tiến hành,1651155,815,11313,"Trong trận chiến với Quỷ vương, đội trưởng của Hiệp sĩ thánh đã khiến linh hồn anh bị mắc kẹt trong cơ thể của một cô gái yếu đuối. Khi tỉnh dậy, thuyền trưởng phát hiện ra cô gái đang gặp nguy hiểm. Để bảo vệ bản thân, anh quyết định đến nhà thờ để chứng minh danh tính, nhưng thật bất ngờ, anh gặp đội trưởng blah blah blah blah của một thứ gì đó, và trở thành hôn thê của anh. Cô ấy thực sự có thể chứng minh danh tính của mình? Ngoài ra, điều gì sẽ xảy ra với mối quan hệ của họ?",17/07//2021,Chapter 50
319,Tế Phẩm Công Chúa,"Cổ Đại, Magical, Manhwa, Truyện Màu, Xuyên Không",Đang tiến hành,502626,91,7378,,17/07//2021,Chapter 27
320,Luật Của Tiểu Thuyết Mạng,"Comedy, Drama, Fantasy, Romance, School Life, Sci-fi, Shoujo, Webtoon",Đang tiến hành,13079883,2419,34412,"Tôi chỉ muốn sống một cuộc sống bình thường, tại sao điều này lại xảy ra với tôi! Hồi sinh viên bình thường của bạn Ham Dan, người có sở thích đọc sách Law of Insomnia Nhưng ngay cả trong thế giới của tiểu thuyết giả tưởng, vai trò của cô cũng không khác. Bị mắc kẹt như người bạn thời thơ ấu của nữ nhân vật chính, cuộc sống bình thường hàng ngày của cô chấm dứt, trở nên xoắn hơn bởi tính cách mạnh mẽ của cô.Nhóm mình là đơn thuần team vì mới lập nên cần rất nhiều trans anh, trung ai muốn vào thì ib nhóm mình nhé : https://www.facebook.com/%C4%90%C6%A1n-Thu%E1%BA%A7n-team-2664744496931768/",17/07//2021,Chapter 113.2
321,Định Chế Tình Yêu,"Drama, Manhua, Ngôn Tình, Shoujo, Truyện Màu",Đang tiến hành,521631,288,2492,"Hiểu Ân- Một nhà văn chưa có kinh nghiệm tình trường luôn có tràn đầy những tưởng tượng về tình yêu, cô ấy đang bị tắc ý tưởng nên muốn có được tài liệu cho tác phẩm từ chỗ trai bao trong truyền thuyết mà cô ngẫu nhiên biết được.Nhưng do hành động không nhanh nên bất đắc dĩ phải vào nhà soái ca có chứng ép buộc tự xưng là thiên tài tình yêu...nhưng tại sao anh ta lại vô duyên vô cớ giữ Hiểu Ân lại làm bảo mẫu chứ? Lại còn dạy cô ấy bí kíp mê hoặc người khác? Rốt cuộc có mục đích gì?...",17/07//2021,Chapter 72
322,Nữ Phụ Phản Diện Muốn Trở Thành Một Con Chim Sơn Ca,"Chuyển Sinh, Manga, Romance",Đang tiến hành,57925,42,2814,"Akuyaku Reijou wa Yoru Tsugedori o Mezasu Tên khác: Nữ phụ phản diện muốn trở thành một con chim sơn ca. **Chim sơn ca nghĩa là ám chỉ y tá. Tên raw: 悪 役 令 嬢 は 夜 告 鳥 を め ざ ざ Truyện được Việt hóa bởi 010 Team ------- Tôi tái sinh trong thế giới của tiểu thuyết trực tuyến Châu Âu?! Khi tôi nhận ra mình đang ở trong một thế giới tiểu thuyết không phân nhánh theo lộ trình, tôi đã đụng phải một bức tường ngay từ đầu chỉ vì một lý do đơn giản. Nhân vật chính của cuốn tiểu thuyết gốc là một cựu bác sĩ, nhưng không đời nào tôi có thể gian dối và làm điều tương tự như vậy. Tôi không thể không tự hỏi mình có thể làm gì với tư cách là một tang nữ trước khi nhiều người, bao gồm cả vị hôn phu của tôi sẽ mất trong chiến tranh? Nếu điều này xảy ra, tôi sẽ đặt mục tiêu trở thành một con chim sơn ca trong thế giới này! Một câu chuyện tình lãng mạn trong y khoa liên quan đến một tang nữ, một người giản dị và không có một chút EQ nào! *Tang nữ là người phụ nữ đã lớn tuổi nhưng vẫn còn zin. Ít giao tiếp và không được người khác giới yêu thích.",17/07//2021,Chapter 9
323,Chiếc Váy Của Người Cá,"Fantasy, Manhua, Ngôn Tình, Romance, Truyện Màu",Đang tiến hành,809407,799,7805,"Để phá vỡ hợp đồng hôn nhân của mình, cô nàng tiên cá kiêu ngạo lên bờ đến thành phố để tìm "" vị hôn phu "" của mình. Anh ta sở hữu một tiệm váy vóc phương Tây,.... Không may khi lên bờ cô ấy đã vô tình giải phóng ma vật, từ đó.... ",17/07//2021,Chapter 59
324,Asumi-chan is interested in Lesbian Brothels!,"Comedy, Ecchi, Romance, Yuri",Đang tiến hành,143093,36,1325,Hành trình đi chịch dạo của Asumi để tìm lại chị gái mưa,17/07//2021,Chapter 6
